	userId
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	2
233	2
234	2
235	2
236	2
237	2
238	2
239	2
240	2
241	2
242	2
243	2
244	2
245	2
246	2
247	2
248	2
249	2
250	2
251	2
252	2
253	2
254	2
255	2
256	2
257	2
258	2
259	2
260	2
261	3
262	3
263	3
264	3
265	3
266	3
267	3
268	3
269	3
270	3
271	3
272	3
273	3
274	3
275	3
276	3
277	3
278	3
279	3
280	3
281	3
282	3
283	3
284	3
285	3
286	3
287	3
288	3
289	3
290	3
291	3
292	3
293	3
294	3
295	3
296	3
297	3
298	3
299	3
300	4
301	4
302	4
303	4
304	4
305	4
306	4
307	4
308	4
309	4
310	4
311	4
312	4
313	4
314	4
315	4
316	4
317	4
318	4
319	4
320	4
321	4
322	4
323	4
324	4
325	4
326	4
327	4
328	4
329	4
330	4
331	4
332	4
333	4
334	4
335	4
336	4
337	4
338	4
339	4
340	4
341	4
342	4
343	4
344	4
345	4
346	4
347	4
348	4
349	4
350	4
351	4
352	4
353	4
354	4
355	4
356	4
357	4
358	4
359	4
360	4
361	4
362	4
363	4
364	4
365	4
366	4
367	4
368	4
369	4
370	4
371	4
372	4
373	4
374	4
375	4
376	4
377	4
378	4
379	4
380	4
381	4
382	4
383	4
384	4
385	4
386	4
387	4
388	4
389	4
390	4
391	4
392	4
393	4
394	4
395	4
396	4
397	4
398	4
399	4
400	4
401	4
402	4
403	4
404	4
405	4
406	4
407	4
408	4
409	4
410	4
411	4
412	4
413	4
414	4
415	4
416	4
417	4
418	4
419	4
420	4
421	4
422	4
423	4
424	4
425	4
426	4
427	4
428	4
429	4
430	4
431	4
432	4
433	4
434	4
435	4
436	4
437	4
438	4
439	4
440	4
441	4
442	4
443	4
444	4
445	4
446	4
447	4
448	4
449	4
450	4
451	4
452	4
453	4
454	4
455	4
456	4
457	4
458	4
459	4
460	4
461	4
462	4
463	4
464	4
465	4
466	4
467	4
468	4
469	4
470	4
471	4
472	4
473	4
474	4
475	4
476	4
477	4
478	4
479	4
480	4
481	4
482	4
483	4
484	4
485	4
486	4
487	4
488	4
489	4
490	4
491	4
492	4
493	4
494	4
495	4
496	4
497	4
498	4
499	4
500	4
501	4
502	4
503	4
504	4
505	4
506	4
507	4
508	4
509	4
510	4
511	4
512	4
513	4
514	4
515	4
516	5
517	5
518	5
519	5
520	5
521	5
522	5
523	5
524	5
525	5
526	5
527	5
528	5
529	5
530	5
531	5
532	5
533	5
534	5
535	5
536	5
537	5
538	5
539	5
540	5
541	5
542	5
543	5
544	5
545	5
546	5
547	5
548	5
549	5
550	5
551	5
552	5
553	5
554	5
555	5
556	5
557	5
558	5
559	5
560	6
561	6
562	6
563	6
564	6
565	6
566	6
567	6
568	6
569	6
570	6
571	6
572	6
573	6
574	6
575	6
576	6
577	6
578	6
579	6
580	6
581	6
582	6
583	6
584	6
585	6
586	6
587	6
588	6
589	6
590	6
591	6
592	6
593	6
594	6
595	6
596	6
597	6
598	6
599	6
600	6
601	6
602	6
603	6
604	6
605	6
606	6
607	6
608	6
609	6
610	6
611	6
612	6
613	6
614	6
615	6
616	6
617	6
618	6
619	6
620	6
621	6
622	6
623	6
624	6
625	6
626	6
627	6
628	6
629	6
630	6
631	6
632	6
633	6
634	6
635	6
636	6
637	6
638	6
639	6
640	6
641	6
642	6
643	6
644	6
645	6
646	6
647	6
648	6
649	6
650	6
651	6
652	6
653	6
654	6
655	6
656	6
657	6
658	6
659	6
660	6
661	6
662	6
663	6
664	6
665	6
666	6
667	6
668	6
669	6
670	6
671	6
672	6
673	6
674	6
675	6
676	6
677	6
678	6
679	6
680	6
681	6
682	6
683	6
684	6
685	6
686	6
687	6
688	6
689	6
690	6
691	6
692	6
693	6
694	6
695	6
696	6
697	6
698	6
699	6
700	6
701	6
702	6
703	6
704	6
705	6
706	6
707	6
708	6
709	6
710	6
711	6
712	6
713	6
714	6
715	6
716	6
717	6
718	6
719	6
720	6
721	6
722	6
723	6
724	6
725	6
726	6
727	6
728	6
729	6
730	6
731	6
732	6
733	6
734	6
735	6
736	6
737	6
738	6
739	6
740	6
741	6
742	6
743	6
744	6
745	6
746	6
747	6
748	6
749	6
750	6
751	6
752	6
753	6
754	6
755	6
756	6
757	6
758	6
759	6
760	6
761	6
762	6
763	6
764	6
765	6
766	6
767	6
768	6
769	6
770	6
771	6
772	6
773	6
774	6
775	6
776	6
777	6
778	6
779	6
780	6
781	6
782	6
783	6
784	6
785	6
786	6
787	6
788	6
789	6
790	6
791	6
792	6
793	6
794	6
795	6
796	6
797	6
798	6
799	6
800	6
801	6
802	6
803	6
804	6
805	6
806	6
807	6
808	6
809	6
810	6
811	6
812	6
